study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2827	SAMEA1466192	ERS085418	ERX113836	ERR137818	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137818/ERR137818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137818/ERR137818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137818/ERR137818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137818/ERR137818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137818/7790_1#85.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137818/7790_1#85.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137818	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137818		
PRJEB2827	SAMEA1466113	ERS085419	ERX113837	ERR137819	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137819/ERR137819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137819/ERR137819_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137819/ERR137819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137819/ERR137819_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137819/7790_1#86.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137819/7790_1#86.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137819	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137819		
PRJEB2827	SAMEA1466173	ERS085420	ERX113838	ERR137820	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137820/ERR137820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137820/ERR137820_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137820/ERR137820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137820/ERR137820_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137820/7790_1#87.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137820/7790_1#87.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137820	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137820		
PRJEB2827	SAMEA1466162	ERS085421	ERX113839	ERR137821	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137821/ERR137821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137821/ERR137821_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137821/ERR137821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137821/ERR137821_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137821/7790_1#88.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137821/7790_1#88.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137821	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137821		
PRJEB2827	SAMEA1466124	ERS085422	ERX113840	ERR137822	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137822/ERR137822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137822/ERR137822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137822/ERR137822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137822/ERR137822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137822/7790_1#89.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137822/7790_1#89.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137822	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137822		
PRJEB2827	SAMEA1466138	ERS085423	ERX113841	ERR137823	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137823/ERR137823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137823/ERR137823_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137823/ERR137823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137823/ERR137823_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137823/7790_1#90.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137823/7790_1#90.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137823	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137823		
PRJEB2827	SAMEA1466108	ERS085424	ERX113842	ERR137824	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137824/ERR137824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137824/ERR137824_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137824/ERR137824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137824/ERR137824_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137824/7790_1#91.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137824/7790_1#91.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137824	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137824		
PRJEB2827	SAMEA1466120	ERS085425	ERX113843	ERR137825	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137825/ERR137825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137825/ERR137825_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137825/ERR137825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137825/ERR137825_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137825/7790_1#92.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137825/7790_1#92.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137825	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137825		
PRJEB2827	SAMEA1466180	ERS085426	ERX113844	ERR137826	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137826/ERR137826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137826/ERR137826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137826/ERR137826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137826/ERR137826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137826/7790_1#93.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137826/7790_1#93.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137826	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137826		
PRJEB2827	SAMEA1466182	ERS085427	ERX113845	ERR137827	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137827/ERR137827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137827/ERR137827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137827/ERR137827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137827/ERR137827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137827/7790_1#94.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137827/7790_1#94.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137827	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137827		
PRJEB2827	SAMEA1466201	ERS085428	ERX113846	ERR137828	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137828/ERR137828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137828/ERR137828_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137828/ERR137828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137828/ERR137828_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137828/7790_1#95.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137828/7790_1#95.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137828	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137828		
PRJEB2827	SAMEA1466160	ERS085429	ERX113847	ERR137829	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137829/ERR137829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137829/ERR137829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137829/ERR137829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137829/ERR137829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137829/7790_1#96.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137829/7790_1#96.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137829	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137829		
PRJEB2827	SAMEA1531053	ERS139198	ERX154294	ERR178148	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178148/ERR178148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178148/ERR178148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178148/ERR178148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178148/ERR178148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178148/8205_3#1.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178148/8205_3#1.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178148	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178148		
PRJEB2827	SAMEA1531048	ERS139199	ERX154295	ERR178149	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178149/ERR178149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178149/ERR178149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178149/ERR178149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178149/ERR178149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178149/8205_3#2.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178149/8205_3#2.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178149	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178149		
PRJEB2827	SAMEA1531000	ERS139200	ERX154296	ERR178150	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178150/ERR178150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178150/ERR178150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178150/ERR178150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178150/ERR178150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178150/8205_3#3.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178150/8205_3#3.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178150	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178150		
PRJEB2827	SAMEA1531036	ERS139201	ERX154297	ERR178151	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178151/ERR178151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178151/ERR178151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178151/ERR178151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178151/ERR178151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178151/8205_3#4.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178151/8205_3#4.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178151	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178151		
PRJEB2827	SAMEA1531041	ERS139202	ERX154298	ERR178152	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178152/ERR178152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178152/ERR178152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178152/ERR178152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178152/ERR178152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178152/8205_3#5.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178152/8205_3#5.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178152	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178152		
PRJEB2827	SAMEA1531020	ERS139203	ERX154299	ERR178153	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178153/ERR178153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178153/ERR178153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178153/ERR178153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178153/ERR178153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178153/8205_3#6.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178153/8205_3#6.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178153	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178153		
PRJEB2827	SAMEA1531024	ERS139204	ERX154300	ERR178154	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178154/ERR178154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178154/ERR178154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178154/ERR178154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178154/ERR178154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178154/8205_3#7.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178154/8205_3#7.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178154	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178154		
PRJEB2827	SAMEA1531031	ERS139205	ERX154301	ERR178155	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178155/ERR178155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178155/ERR178155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178155/ERR178155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178155/ERR178155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178155/8205_3#8.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178155/8205_3#8.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178155	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178155		
PRJEB2827	SAMEA1531061	ERS139206	ERX154302	ERR178156	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178156/ERR178156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178156/ERR178156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178156/ERR178156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178156/ERR178156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178156/8205_3#9.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178156/8205_3#9.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178156	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178156		
PRJEB2827	SAMEA1531064	ERS139207	ERX154303	ERR178157	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178157/ERR178157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178157/ERR178157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178157/ERR178157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178157/ERR178157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178157/8205_3#10.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178157/8205_3#10.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178157	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178157		
PRJEB2827	SAMEA1531049	ERS139208	ERX154304	ERR178158	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178158/ERR178158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178158/ERR178158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178158/ERR178158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178158/ERR178158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178158/8205_3#11.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178158/8205_3#11.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178158	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178158		
PRJEB2827	SAMEA1531056	ERS139209	ERX154305	ERR178159	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178159/ERR178159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178159/ERR178159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178159/ERR178159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178159/ERR178159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178159/8205_3#12.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178159/8205_3#12.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178159	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178159		
PRJEB2827	SAMEA1530981	ERS139210	ERX154306	ERR178160	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178160/ERR178160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178160/ERR178160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178160/ERR178160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178160/ERR178160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178160/8205_3#13.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178160/8205_3#13.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178160	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178160		
PRJEB2827	SAMEA1530985	ERS139211	ERX154307	ERR178161	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178161/ERR178161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178161/ERR178161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178161/ERR178161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178161/ERR178161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178161/8205_3#14.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178161/8205_3#14.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178161	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178161		
PRJEB2827	SAMEA1530994	ERS139212	ERX154308	ERR178162	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178162/ERR178162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178162/ERR178162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178162/ERR178162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178162/ERR178162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178162/8205_3#15.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178162/8205_3#15.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178162	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178162		
PRJEB2827	SAMEA1530997	ERS139213	ERX154309	ERR178163	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178163/ERR178163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178163/ERR178163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178163/ERR178163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178163/ERR178163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178163/8205_3#16.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178163/8205_3#16.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178163	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178163		
PRJEB2827	SAMEA1531004	ERS139214	ERX154310	ERR178164	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178164/ERR178164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178164/ERR178164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178164/ERR178164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178164/ERR178164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178164/8205_3#17.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178164/8205_3#17.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178164	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178164		
PRJEB2827	SAMEA1530999	ERS139215	ERX154311	ERR178165	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178165/ERR178165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178165/ERR178165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178165/ERR178165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178165/ERR178165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178165/8205_3#18.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178165/8205_3#18.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178165	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178165		
PRJEB2827	SAMEA1531005	ERS139216	ERX154312	ERR178166	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178166/ERR178166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178166/ERR178166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178166/ERR178166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178166/ERR178166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178166/8205_3#19.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178166/8205_3#19.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178166	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178166		
PRJEB2827	SAMEA1531015	ERS139217	ERX154313	ERR178167	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178167/ERR178167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178167/ERR178167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178167/ERR178167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/ERR178167/ERR178167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178167/8205_3#20.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR178/ERR178167/8205_3#20.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178167	ftp.sra.ebi.ac.uk/vol1/err/ERR178/ERR178167		
